file,data_page,in_sidebar,in_subnav,orphan
public/404.html,,no,no,
public/admin-activity-monitor.html,activity-monitor,no,yes,
public/admin-agreements.html,admin-agreements,yes,no,
public/admin-ai.html,ai,yes,yes,
public/admin-anomalies.html,anomalies,yes,yes,
public/admin-attendance.html,attendance-admin,no,no,orphan
public/admin-branches.html,branches,yes,yes,
public/admin-brands.html,brands,yes,yes,
public/admin-bug-reports.html,bug-reports,yes,yes,
public/admin-categories.html,categories,yes,yes,
public/admin-credit-limits.html,credit-limits,yes,yes,
public/admin-customer-types.html,customer-types,yes,yes,
public/admin-customers.html,customers,yes,yes,
public/admin-daily-tasks.html,admin-daily-tasks,yes,yes,
public/admin-dashboard.html,,no,no,
public/admin-design-requests.html,design-requests,yes,yes,
public/admin-dpl-match.html,zoho-dpl-match,no,no,orphan
public/admin-dpl.html,zoho-dpl,yes,no,
public/admin-engineer-catalog.html,,no,no,
public/admin-engineers.html,,no,no,
public/admin-estimate-requests.html,estimate-requests,yes,yes,
public/admin-geofence-logs.html,geofence-logs,yes,yes,
public/admin-gst-reports.html,gst-reports,yes,no,
public/admin-guides.html,guides,yes,yes,
public/admin-item-master.html,item-master,yes,yes,
public/admin-lead-scoring.html,lead-scoring,no,yes,
public/admin-leads.html,leads,yes,yes,
public/admin-live-dashboard.html,live-dashboard,yes,no,
public/admin-monitoring.html,monitoring,yes,yes,
public/admin-painter-catalog.html,painter-catalog,yes,no,
public/admin-painter-leads.html,painter-leads,yes,no,
public/admin-painters.html,painters,yes,yes,
public/admin-photos.html,photos,yes,yes,
public/admin-price-list-generator.html,,no,no,
public/admin-products.html,products,yes,yes,
public/admin-profile.html,profile,yes,yes,
public/admin-reports.html,reports,yes,yes,
public/admin-role-permissions.html,permissions,yes,yes,
public/admin-roles.html,roles,yes,yes,
public/admin-salary-advances.html,salary-advances,yes,yes,
public/admin-salary-config.html,salary-config,yes,yes,
public/admin-salary-incentives.html,salary-incentives,no,yes,
public/admin-salary-monthly.html,salary-monthly,yes,yes,
public/admin-salary-payments.html,salary-payments,yes,yes,
public/admin-salary-reports.html,salary-reports,yes,yes,
public/admin-settings.html,settings,yes,yes,
public/admin-staff-registrations.html,staff-registrations,yes,yes,
public/admin-staff.html,staff,yes,yes,
public/admin-stock-check.html,zoho-stock-check,yes,no,
public/admin-stock-hub.html,zoho-stock-hub,no,no,orphan
public/admin-stock-migration.html,zoho-stock-migrate,yes,no,
public/admin-system-health.html,system-health,yes,yes,
public/admin-tasks.html,admin-tasks,yes,yes,
public/admin-wa-admin-login.html,wa-admin-login,yes,yes,
public/admin-wa-contacts.html,wa-contacts,yes,yes,
public/admin-wa-dashboard.html,wa-dashboard,yes,yes,
public/admin-wa-marketing.html,wa-marketing,yes,yes,
public/admin-wa-settings.html,wa-settings,yes,yes,
public/admin-wa-templates.html,wa-templates,yes,yes,
public/admin-website.html,website,yes,yes,
public/admin-whatsapp-chat.html,whatsapp-chat,yes,yes,
public/admin-whatsapp-sessions.html,whatsapp-sessions,yes,yes,
public/admin-zoho-bulk-jobs.html,zoho-bulk-jobs,yes,no,
public/admin-zoho-collections.html,zoho-collections,yes,no,
public/admin-zoho-dashboard.html,zoho-dashboard,yes,no,
public/admin-zoho-expenses.html,zoho-expenses,no,no,orphan
public/admin-zoho-invoices.html,zoho-invoices,yes,no,
public/admin-zoho-items-edit.html,zoho-items-edit,yes,no,
public/admin-zoho-items.html,zoho-items,yes,no,
public/admin-zoho-locations.html,zoho-locations,yes,no,
public/admin-zoho-purchase-suggestions.html,zoho-purchase-suggestions,yes,no,
public/admin-zoho-reorder.html,zoho-reorder,yes,no,
public/admin-zoho-reports.html,zoho-reports,yes,no,
public/admin-zoho-salesorders.html,zoho-salesorders,no,no,orphan
public/admin-zoho-settings.html,zoho-settings,yes,no,
public/admin-zoho-stock-adjust.html,zoho-stock-adjust,yes,no,
public/admin-zoho-stock.html,zoho-stock,yes,no,
public/admin-zoho-transactions.html,zoho-transactions,yes,no,
public/birla-opus-report.html,,no,no,
public/chat.html,chat,yes,yes,
public/customer-dashboard.html,,no,no,
public/customer-estimate-view.html,,no,no,
public/customer-login.html,,no,no,
public/customer-requests.html,,no,no,
public/dashboard.html,,no,no,
public/engineer-cart.html,cart,no,no,orphan
public/engineer-catalog.html,catalog,yes,no,
public/engineer-dashboard.html,dashboard,yes,yes,
public/engineer-login.html,,no,no,
public/engineer-new-quote.html,new-quote,no,no,orphan
public/engineer-profile.html,profile,yes,yes,
public/engineer-register.html,,no,no,
public/estimate-actions.html,estimate-actions,no,yes,
public/estimate-create-new.html,estimate-create,yes,yes,
public/estimate-edit.html,,no,no,
public/estimate-print.html,,no,no,
public/estimate-settings.html,estimate-settings,yes,yes,
public/estimate-view.html,,no,no,
public/estimates.html,estimates,yes,yes,
public/forgot-password.html,,no,no,
public/index.html,,no,no,
public/login.html,,no,no,
public/offline.html,,no,no,
public/painter-attendance.html,,no,no,
public/painter-catalog.html,,no,no,
public/painter-dashboard.html,,no,no,
public/painter-estimate-create.html,,no,no,
public/painter-login.html,,no,no,
public/painter-profile.html,,no,no,
public/painter-register.html,,no,no,
public/painter-training.html,,no,no,
public/payment-receipt.html,,no,no,
public/payment.html,,no,no,
public/privacy-policy.html,,no,no,
public/register.html,,no,no,
public/request-estimate.html,,no,no,
public/reset-password.html,,no,no,
public/staff-billing.html,billing,yes,no,
public/staff-daily-work.html,daily-work,yes,no,
public/staff-estimates.html,,no,no,
public/staff-incentives.html,my-incentives,yes,yes,
public/staff-leads.html,my-leads,yes,yes,
public/staff-painter-marketing.html,painter-marketing,yes,no,
public/staff-register.html,,no,no,
public/staff-requests.html,,no,no,
public/staff-vendors.html,vendors,yes,no,
public/staff/activities.html,attendance-activities,no,no,orphan
public/staff/advance-request.html,advance-request,yes,no,
public/staff/agreement.html,staff-agreement,yes,no,
public/staff/clock-in.html,attendance-clock-in,no,no,orphan
public/staff/clock-out.html,attendance-clock-out,no,no,orphan
public/staff/collections.html,collections,yes,no,
public/staff/daily-tasks.html,daily-tasks,yes,yes,
public/staff/dashboard.html,attendance-dashboard,no,no,orphan
public/staff/guides.html,,no,no,
public/staff/history.html,attendance-history,yes,no,
public/staff/permission-request.html,attendance-permission,no,no,orphan
public/staff/salary.html,my-salary,yes,no,
public/staff/stock-check.html,stock-check,yes,no,
public/staff/tasks.html,attendance-tasks,no,no,orphan
